image_id,cell,ground_truth,correction_method,centre_x,centre_y,R,G,B,hue_deg,saturation,value
DR005,R1C1,positive,cmyk,148.0,266.7,146,141,62,56.4,0.5753,0.5725
DR005,R1C2,positive,cmyk,444.0,266.7,133,123,16,54.9,0.8797,0.5216
DR005,R1C3,positive,cmyk,740.0,266.7,135,143,154,214.7,0.1234,0.6039
DR005,R2C1,negative,cmyk,148.0,490.0,140,152,164,210.0,0.1463,0.6431
DR005,R2C2,negative,cmyk,444.0,490.0,128,139,150,210.0,0.1467,0.5882
DR005,R2C3,negative,cmyk,740.0,490.0,136,146,158,212.7,0.1392,0.6196
DR005,R3C1,negative,cmyk,148.0,713.3,129,138,149,213.0,0.1342,0.5843
DR005,R3C2,negative,cmyk,444.0,713.3,119,125,123,160.0,0.048,0.4902
DR005,R3C3,negative,cmyk,740.0,713.3,127,139,152,211.2,0.1645,0.5961
DR008,R1C1,positive,cmyk,164.5,269.5,211,219,138,65.9,0.3699,0.8588
DR008,R1C2,positive,cmyk,445.5,269.5,197,203,72,62.7,0.6453,0.7961
DR008,R1C3,positive,cmyk,726.5,269.5,197,194,170,53.3,0.1371,0.7725
DR008,R2C1,negative,cmyk,164.5,444.5,209,212,191,68.6,0.0991,0.8314
DR008,R2C2,negative,cmyk,445.5,444.5,203,206,180,66.9,0.1262,0.8078
DR008,R2C3,negative,cmyk,726.5,444.5,195,192,173,51.8,0.1128,0.7647
DR008,R3C1,negative,cmyk,164.5,619.5,206,208,194,68.6,0.0673,0.8157
DR008,R3C2,negative,cmyk,445.5,619.5,197,196,174,57.4,0.1168,0.7725
DR008,R3C3,negative,cmyk,726.5,619.5,194,189,171,47.0,0.1186,0.7608
DR009,R1C1,positive,cmyk,156.5,249.5,214,218,171,65.1,0.2156,0.8549
DR009,R1C2,positive,cmyk,469.5,249.5,198,206,45,63.0,0.7816,0.8078
DR009,R1C3,positive,cmyk,782.5,249.5,196,194,172,55.0,0.1224,0.7686
DR009,R2C1,negative,cmyk,156.5,424.5,206,207,189,63.3,0.087,0.8118
DR009,R2C2,negative,cmyk,469.5,424.5,205,205,178,60.0,0.1317,0.8039
DR009,R2C3,negative,cmyk,782.5,424.5,194,192,172,54.5,0.1134,0.7608
DR009,R3C1,negative,cmyk,156.5,599.5,207,208,190,63.3,0.0865,0.8157
DR009,R3C2,negative,cmyk,469.5,599.5,199,199,175,60.0,0.1206,0.7804
DR009,R3C3,negative,cmyk,782.5,599.5,196,189,170,43.8,0.1327,0.7686
DR010,R1C1,positive,cmyk,149.5,259.5,211,213,188,64.8,0.1174,0.8353
DR010,R1C2,positive,cmyk,434.5,259.5,199,199,115,60.0,0.4221,0.7804
DR010,R1C3,positive,cmyk,719.5,259.5,210,211,169,61.4,0.1991,0.8275
DR010,R2C1,negative,cmyk,149.5,434.5,209,211,190,65.7,0.0995,0.8275
DR010,R2C2,negative,cmyk,434.5,434.5,207,208,177,61.9,0.149,0.8157
DR010,R2C3,negative,cmyk,719.5,434.5,192,192,170,60.0,0.1146,0.7529
DR010,R3C1,negative,cmyk,149.5,609.5,208,209,190,63.2,0.0909,0.8196
DR010,R3C2,negative,cmyk,434.5,609.5,201,201,177,60.0,0.1194,0.7882
DR010,R3C3,negative,cmyk,719.5,609.5,192,194,170,65.0,0.1237,0.7608
