image_id,patch,centre_x,centre_y,measured_R,measured_G,measured_B,target_R,target_G,target_B,delta_R,delta_G,delta_B
DR005,K,174.0,938.8,2,2,2,0,0,0,2,2,2
DR005,Y,358.0,938.8,124,108,10,255,255,0,-131,-147,10
DR005,M,542.0,938.8,69,12,54,255,0,255,-186,12,-201
DR005,C,726.0,938.8,41,101,117,0,255,255,41,-154,-138
DR005,grey,174.0,1146.2,91,97,106,128,128,128,-37,-31,-22
DR005,white,358.0,1146.2,123,132,143,255,255,255,-132,-123,-112
DR005,orange,726.0,1146.2,129,94,12,255,165,0,-126,-71,12
DR008,K,198.4,900.0,52,54,53,0,0,0,52,54,53
DR008,Y,365.1,900.0,201,192,0,255,255,0,-54,-63,0
DR008,M,531.9,900.0,168,46,100,255,0,255,-87,46,-155
DR008,C,698.6,900.0,105,186,170,0,255,255,105,-69,-85
DR008,grey,198.4,1100.0,182,180,150,128,128,128,54,52,22
DR008,white,365.1,1100.0,208,209,164,255,255,255,-47,-46,-91
DR008,orange,698.6,1100.0,200,148,5,255,165,0,-55,-17,5
DR009,K,173.1,923.8,46,46,44,0,0,0,46,46,44
DR009,Y,349.4,923.8,197,193,0,255,255,0,-58,-62,0
DR009,M,525.6,923.8,155,38,90,255,0,255,-100,38,-165
DR009,C,701.9,923.8,91,184,163,0,255,255,91,-71,-92
DR009,grey,173.1,1121.2,179,178,147,128,128,128,51,50,19
DR009,white,349.4,1121.2,199,201,170,255,255,255,-56,-54,-85
DR009,orange,701.9,1121.2,194,141,0,255,165,0,-61,-24,0
DR010,K,215.6,888.8,65,65,57,0,0,0,65,65,57
DR010,Y,376.9,888.8,210,198,47,255,255,0,-45,-57,47
DR010,M,538.1,888.8,170,70,103,255,0,255,-85,70,-152
DR010,C,699.4,888.8,129,193,164,0,255,255,129,-62,-91
DR010,grey,215.6,1086.2,190,181,152,128,128,128,62,53,24
DR010,white,376.9,1086.2,215,214,162,255,255,255,-40,-41,-93
DR010,orange,699.4,1086.2,205,155,43,255,165,0,-50,-10,43
